DateTime,T(C),CO2(ppm),RH(%)
2024-01-01 00:00:00,4.9,400,69
2024-01-01 01:00:00,4.9,400,69
2024-01-01 02:00:00,4.9,400,69
2024-01-01 03:00:00,4.9,400,67.67
2024-01-01 04:00:00,4.9,400,66.33
2024-01-01 05:00:00,4.9,400,65
2024-01-01 06:00:00,4.8,400,65
2024-01-01 07:00:00,4.7,400,65
2024-01-01 08:00:00,4.6,400,65
2024-01-01 09:00:00,5.53,400,61.33
2024-01-01 10:00:00,6.47,400,57.67
2024-01-01 11:00:00,7.4,400,54
2024-01-01 12:00:00,8.3,400,50.67
2024-01-01 13:00:00,9.2,400,47.33
2024-01-01 14:00:00,10.1,400,44
2024-01-01 15:00:00,9.47,400,46.67
2024-01-01 16:00:00,8.83,400,49.33
2024-01-01 17:00:00,8.2,400,52
2024-01-01 18:00:00,7.3,400,57
2024-01-01 19:00:00,6.4,400,62
2024-01-01 20:00:00,5.5,400,67
2024-01-01 21:00:00,5.1,400,70.33
2024-01-01 22:00:00,4.7,400,73.67
2024-01-01 23:00:00,4.3,400,77
2024-01-02 00:00:00,3.8,400,79.67
2024-01-02 01:00:00,3.3,400,82.33
2024-01-02 02:00:00,2.8,400,85
2024-01-02 03:00:00,2.57,400,85.67
2024-01-02 04:00:00,2.33,400,86.33
2024-01-02 05:00:00,2.1,400,87
2024-01-02 06:00:00,2.2,400,89.33
2024-01-02 07:00:00,2.3,400,91.67
2024-01-02 08:00:00,2.4,400,94
2024-01-02 09:00:00,4.27,400,84.33
2024-01-02 10:00:00,6.13,400,74.67
2024-01-02 11:00:00,8,400,65
2024-01-02 12:00:00,9.23,400,60.33
2024-01-02 13:00:00,10.47,400,55.67
2024-01-02 14:00:00,11.7,400,51
2024-01-02 15:00:00,11.27,400,53.67
2024-01-02 16:00:00,10.83,400,56.33
2024-01-02 17:00:00,10.4,400,59
2024-01-02 18:00:00,9.87,400,62.33
2024-01-02 19:00:00,9.33,400,65.67
2024-01-02 20:00:00,8.8,400,69
2024-01-02 21:00:00,8.07,400,75.67
2024-01-02 22:00:00,7.33,400,82.33
2024-01-02 23:00:00,6.6,400,89
2024-01-03 00:00:00,6.17,400,90
2024-01-03 01:00:00,5.73,400,91
2024-01-03 02:00:00,5.3,400,92
2024-01-03 03:00:00,5.33,400,91
2024-01-03 04:00:00,5.37,400,90
2024-01-03 05:00:00,5.4,400,89
2024-01-03 06:00:00,5.53,400,86
2024-01-03 07:00:00,5.67,400,83
2024-01-03 08:00:00,5.8,400,80
2024-01-03 09:00:00,6.83,400,74.33
2024-01-03 10:00:00,7.87,400,68.67
2024-01-03 11:00:00,8.9,400,63
2024-01-03 12:00:00,9.8,400,57.67
2024-01-03 13:00:00,10.7,400,52.33
2024-01-03 14:00:00,11.6,400,47
2024-01-03 15:00:00,11.03,400,48.67
2024-01-03 16:00:00,10.47,400,50.33
2024-01-03 17:00:00,9.9,400,52
2024-01-03 18:00:00,8.7,400,60
2024-01-03 19:00:00,7.5,400,68
2024-01-03 20:00:00,6.3,400,76
2024-01-03 21:00:00,5.67,400,79
2024-01-03 22:00:00,5.03,400,82
2024-01-03 23:00:00,4.4,400,85
2024-01-04 00:00:00,4,400,87.33
2024-01-04 01:00:00,3.6,400,89.67
2024-01-04 02:00:00,3.2,400,92
2024-01-04 03:00:00,2.9,400,93.33
2024-01-04 04:00:00,2.6,400,94.67
2024-01-04 05:00:00,2.3,400,96
2024-01-04 06:00:00,2.47,400,96
2024-01-04 07:00:00,2.63,400,96
2024-01-04 08:00:00,2.8,400,96
2024-01-04 09:00:00,4.47,400,87
2024-01-04 10:00:00,6.13,400,78
2024-01-04 11:00:00,7.8,400,69
2024-01-04 12:00:00,9.43,400,62
2024-01-04 13:00:00,11.07,400,55
2024-01-04 14:00:00,12.7,400,48
2024-01-04 15:00:00,12,400,51.33
2024-01-04 16:00:00,11.3,400,54.67
2024-01-04 17:00:00,10.6,400,58
2024-01-04 18:00:00,9.73,400,60.33
2024-01-04 19:00:00,8.87,400,62.67
2024-01-04 20:00:00,8,400,65
2024-01-04 21:00:00,7.4,400,70
2024-01-04 22:00:00,6.8,400,75
2024-01-04 23:00:00,6.2,400,80
2024-01-05 00:00:00,6.37,400,80
2024-01-05 01:00:00,6.53,400,80
2024-01-05 02:00:00,6.7,400,80
2024-01-05 03:00:00,6.77,400,79.33
2024-01-05 04:00:00,6.83,400,78.67
2024-01-05 05:00:00,6.9,400,78
2024-01-05 06:00:00,6.93,400,79
2024-01-05 07:00:00,6.97,400,80
2024-01-05 08:00:00,7,400,81
2024-01-05 09:00:00,8.83,400,72.67
2024-01-05 10:00:00,10.67,400,64.33
2024-01-05 11:00:00,12.5,400,56
2024-01-05 12:00:00,13.7,400,50
2024-01-05 13:00:00,14.9,400,44
2024-01-05 14:00:00,16.1,400,38
2024-01-05 15:00:00,15.77,400,39
2024-01-05 16:00:00,15.43,400,40
2024-01-05 17:00:00,15.1,400,41
2024-01-05 18:00:00,14.13,400,44.33
2024-01-05 19:00:00,13.17,400,47.67
2024-01-05 20:00:00,12.2,400,51
2024-01-05 21:00:00,11.17,400,56
2024-01-05 22:00:00,10.13,400,61
2024-01-05 23:00:00,9.1,400,66
2024-01-06 00:00:00,8.6,400,67.33
2024-01-06 01:00:00,8.1,400,68.67
2024-01-06 02:00:00,7.6,400,70
2024-01-06 03:00:00,7.1,400,73
2024-01-06 04:00:00,6.6,400,76
2024-01-06 05:00:00,6.1,400,79
2024-01-06 06:00:00,6.6,400,78.67
2024-01-06 07:00:00,7.1,400,78.33
2024-01-06 08:00:00,7.6,400,78
2024-01-06 09:00:00,9.23,400,70.33
2024-01-06 10:00:00,10.87,400,62.67
2024-01-06 11:00:00,12.5,400,55
2024-01-06 12:00:00,13.57,400,49.67
2024-01-06 13:00:00,14.63,400,44.33
2024-01-06 14:00:00,15.7,400,39
2024-01-06 15:00:00,15.07,400,42
2024-01-06 16:00:00,14.43,400,45
2024-01-06 17:00:00,13.8,400,48
2024-01-06 18:00:00,12.73,400,53.33
2024-01-06 19:00:00,11.67,400,58.67
2024-01-06 20:00:00,10.6,400,64
2024-01-06 21:00:00,9.83,400,67.67
2024-01-06 22:00:00,9.07,400,71.33
2024-01-06 23:00:00,8.3,400,75
2024-01-07 00:00:00,8.5,400,73.33
2024-01-07 01:00:00,8.7,400,71.67
2024-01-07 02:00:00,8.9,400,70
2024-01-07 03:00:00,8.43,400,71.67
2024-01-07 04:00:00,7.97,400,73.33
2024-01-07 05:00:00,7.5,400,75
2024-01-07 06:00:00,7.13,400,75.33
2024-01-07 07:00:00,6.77,400,75.67
2024-01-07 08:00:00,6.4,400,76
2024-01-07 09:00:00,7,400,71.67
2024-01-07 10:00:00,7.6,400,67.33
2024-01-07 11:00:00,8.2,400,63
2024-01-07 12:00:00,8.87,400,58.33
2024-01-07 13:00:00,9.53,400,53.67
2024-01-07 14:00:00,10.2,400,49
2024-01-07 15:00:00,9.7,400,50.67
2024-01-07 16:00:00,9.2,400,52.33
2024-01-07 17:00:00,8.7,400,54
2024-01-07 18:00:00,8.17,400,54.67
2024-01-07 19:00:00,7.63,400,55.33
2024-01-07 20:00:00,7.1,400,56
2024-01-07 21:00:00,6.73,400,54.67
2024-01-07 22:00:00,6.37,400,53.33
2024-01-07 23:00:00,6,400,52
2024-01-08 00:00:00,5.63,400,58.67
2024-01-08 01:00:00,5.27,400,65.33
2024-01-08 02:00:00,4.9,400,72
2024-01-08 03:00:00,4.87,400,71.67
2024-01-08 04:00:00,4.83,400,71.33
2024-01-08 05:00:00,4.8,400,71
2024-01-08 06:00:00,4.87,400,72.33
2024-01-08 07:00:00,4.93,400,73.67
2024-01-08 08:00:00,5,400,75
2024-01-08 09:00:00,5.57,400,72
2024-01-08 10:00:00,6.13,400,69
2024-01-08 11:00:00,6.7,400,66
2024-01-08 12:00:00,6.77,400,67.67
2024-01-08 13:00:00,6.83,400,69.33
2024-01-08 14:00:00,6.9,400,71
2024-01-08 15:00:00,6.87,400,72.33
2024-01-08 16:00:00,6.83,400,73.67
2024-01-08 17:00:00,6.8,400,75
2024-01-08 18:00:00,6.77,400,77
2024-01-08 19:00:00,6.73,400,79
2024-01-08 20:00:00,6.7,400,81
2024-01-08 21:00:00,6.67,400,80.67
2024-01-08 22:00:00,6.63,400,80.33
2024-01-08 23:00:00,6.6,400,80
2024-01-09 00:00:00,6.63,400,80.33
2024-01-09 01:00:00,6.67,400,80.67
2024-01-09 02:00:00,6.7,400,81
2024-01-09 03:00:00,6.37,400,83
2024-01-09 04:00:00,6.03,400,85
2024-01-09 05:00:00,5.7,400,87
2024-01-09 06:00:00,5.8,400,87.67
2024-01-09 07:00:00,5.9,400,88.33
2024-01-09 08:00:00,6,400,89
2024-01-09 09:00:00,7.97,400,80.33
2024-01-09 10:00:00,9.93,400,71.67
2024-01-09 11:00:00,11.9,400,63
2024-01-09 12:00:00,12.77,400,61.67
2024-01-09 13:00:00,13.63,400,60.33
2024-01-09 14:00:00,14.5,400,59
2024-01-09 15:00:00,14.07,400,61
2024-01-09 16:00:00,13.63,400,63
2024-01-09 17:00:00,13.2,400,65
2024-01-09 18:00:00,12.37,400,68.67
2024-01-09 19:00:00,11.53,400,72.33
2024-01-09 20:00:00,10.7,400,76
2024-01-09 21:00:00,10.7,400,73.33
2024-01-09 22:00:00,10.7,400,70.67
2024-01-09 23:00:00,10.7,400,68
2024-01-10 00:00:00,10.23,400,66.67
2024-01-10 01:00:00,9.77,400,65.33
2024-01-10 02:00:00,9.3,400,64
2024-01-10 03:00:00,8.37,400,65.33
2024-01-10 04:00:00,7.43,400,66.67
2024-01-10 05:00:00,6.5,400,68
2024-01-10 06:00:00,6.5,400,68
2024-01-10 07:00:00,6.5,400,68
2024-01-10 08:00:00,6.5,400,68
2024-01-10 09:00:00,7.1,400,62
2024-01-10 10:00:00,7.7,400,56
2024-01-10 11:00:00,8.3,400,50
2024-01-10 12:00:00,8.57,400,48.67
2024-01-10 13:00:00,8.83,400,47.33
2024-01-10 14:00:00,9.1,400,46
2024-01-10 15:00:00,8.63,400,48.67
2024-01-10 16:00:00,8.17,400,51.33
2024-01-10 17:00:00,7.7,400,54
